"","Overall","1","2","p","test","Missing"
"creatinine_mean (mean (SD))","    106.22 (132.53)","     91.54 (105.15)","    134.13 (169.99)"," 0.001","","0.0"
"fio2_mean (mean (SD))","     35.15 (21.62)","     29.67 (17.60)","     45.56 (24.58)","<0.001","","0.0"
"so2_min (mean (SD))","     89.71 (8.23)","     91.93 (6.09)","     85.47 (9.96)","<0.001","","0.0"
"temp_mean (mean (SD))","     36.83 (0.50)","     36.85 (0.52)","     36.79 (0.43)"," 0.177","","0.0"
"sbp_mean (mean (SD))","    130.02 (16.86)","    127.93 (17.22)","    133.98 (15.42)","<0.001","","0.0"
"dbp_mean (mean (SD))","     72.01 (8.61)","     72.17 (8.52)","     71.71 (8.80)"," 0.598","","0.0"
"rr_mean (mean (SD))","     20.61 (2.82)","     20.12 (2.71)","     21.55 (2.80)","<0.001","","0.0"
"anti_bacterial_agents = 1 (%)","       269 ( 60.6) ","       136 ( 46.7) ","       133 ( 86.9) ","<0.001","","0.0"
"bicarbonate = 1 (%)","        16 (  3.6) ","         9 (  3.1) ","         7 (  4.6) "," 0.597","","0.0"
"neuromuscular_blocking_agents = 1 (%)","        14 (  3.2) ","         4 (  1.4) ","        10 (  6.5) "," 0.008","","0.0"
"anticoagulants = 1 (%)","       352 ( 79.3) ","       216 ( 74.2) ","       136 ( 88.9) ","<0.001","","0.0"
"factor_xa_inhibitors = 1 (%)","        45 ( 10.1) ","        25 (  8.6) ","        20 ( 13.1) "," 0.186","","0.0"
"anticholesteremic_agents = 1 (%)","       148 ( 33.3) ","        53 ( 18.2) ","        95 ( 62.1) ","<0.001","","0.0"
"male = 1 (%)","       228 ( 51.4) ","       130 ( 44.7) ","        98 ( 64.1) ","<0.001","","0.0"
"bronchodilator_agents = 1 (%)","       152 ( 34.2) ","        70 ( 24.1) ","        82 ( 53.6) ","<0.001","","0.0"
"antihypertensive_agents = 1 (%)","       202 ( 45.5) ","        93 ( 32.0) ","       109 ( 71.2) ","<0.001","","0.0"
"antipsychotic_agents = 1 (%)","       108 ( 24.3) ","        68 ( 23.4) ","        40 ( 26.1) "," 0.595","","0.0"
"antidepressive_agents = 1 (%)","        57 ( 12.8) ","        35 ( 12.0) ","        22 ( 14.4) "," 0.579","","0.0"
"analgesics_opioid = 1 (%)","       195 ( 43.9) ","       101 ( 34.7) ","        94 ( 61.4) ","<0.001","","0.0"
"diuretics = 1 (%)","       106 ( 23.9) ","        30 ( 10.3) ","        76 ( 49.7) ","<0.001","","0.0"
"glucocorticoids = 1 (%)","       205 ( 46.2) ","        78 ( 26.8) ","       127 ( 83.0) ","<0.001","","0.0"
"hypoglycemic_agents = 1 (%)","       130 ( 29.3) ","        63 ( 21.6) ","        67 ( 43.8) ","<0.001","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","       119 ( 26.8) ","        46 ( 15.8) ","        73 ( 47.7) ","<0.001","","0.0"
"sedation = 1 (%)","        24 (  5.4) ","         8 (  2.7) ","        16 ( 10.5) "," 0.001","","0.0"
"benzodiazepines = 1 (%)","       198 ( 44.6) ","        92 ( 31.6) ","       106 ( 69.3) ","<0.001","","0.0"
"vasopressors = 1 (%)","        43 (  9.7) ","        16 (  5.5) ","        27 ( 17.6) ","<0.001","","0.0"
"mv = 1 (%)","        55 ( 12.4) ","        17 (  5.8) ","        38 ( 24.8) ","<0.001","","0.0"
"levelofcare = 1 (%)","       423 ( 95.3) ","       271 ( 93.1) ","       152 ( 99.3) "," 0.007","","0.0"
"wave = 1 (%)","       444 (100.0) ","       291 (100.0) ","       153 (100.0) ","    NA","","0.0"
"icu = 1 (%)","        72 ( 16.2) ","        29 ( 10.0) ","        43 ( 28.1) ","<0.001","","0.0"
"death = 1 (%)","        17 (  3.8) ","         5 (  1.7) ","        12 (  7.8) "," 0.003","","0.0"
"cluster (mean (SD))","      1.34 (0.48)","      1.00 (0.00)","      2.00 (0.00)","<0.001","","0.0"
