"","Overall","1","2","3","p","test","Missing"
"analgesics_opioid = 1 (%)","       161 ( 38.2) ","        63 ( 91.3) ","        71 ( 31.4) ","        27 ( 21.3) ","<0.001","","0.0"
"diuretics = 1 (%)","        97 ( 23.0) ","        47 ( 68.1) ","        26 ( 11.5) ","        24 ( 18.9) ","<0.001","","0.0"
"glucocorticoids = 1 (%)","        48 ( 11.4) ","        12 ( 17.4) ","        27 ( 11.9) ","         9 (  7.1) "," 0.088","","0.0"
"hypoglycemic_agents = 1 (%)","       127 ( 30.1) ","        44 ( 63.8) ","        48 ( 21.2) ","        35 ( 27.6) ","<0.001","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","       103 ( 24.4) ","        20 ( 29.0) ","        46 ( 20.4) ","        37 ( 29.1) "," 0.115","","0.0"
"sedation = 1 (%)","        39 (  9.2) ","        36 ( 52.2) ","         3 (  1.3) ","         0 (  0.0) ","<0.001","","0.0"
"benzodiazepines = 1 (%)","       189 ( 44.8) ","        55 ( 79.7) ","        89 ( 39.4) ","        45 ( 35.4) ","<0.001","","0.0"
"vasopressors = 1 (%)","        76 ( 18.0) ","        49 ( 71.0) ","        21 (  9.3) ","         6 (  4.7) ","<0.001","","0.0"
"mv = 1 (%)","        11 (  2.6) ","        10 ( 14.5) ","         1 (  0.4) ","         0 (  0.0) ","<0.001","","0.0"
"levelofcare = 1 (%)","       362 ( 85.8) ","        66 ( 95.7) ","       210 ( 92.9) ","        86 ( 67.7) ","<0.001","","0.0"
"wave = 0 (%)","       422 (100.0) ","        69 (100.0) ","       226 (100.0) ","       127 (100.0) ","    NA","","0.0"
"icu = 1 (%)","        78 ( 18.5) ","        43 ( 62.3) ","        30 ( 13.3) ","         5 (  3.9) ","<0.001","","0.0"
"death = 1 (%)","        98 ( 23.2) ","        31 ( 44.9) ","        41 ( 18.1) ","        26 ( 20.5) ","<0.001","","0.0"
"cluster (mean (SD))","      2.14 (0.67)","      1.00 (0.00)","      2.00 (0.00)","      3.00 (0.00)","<0.001","","0.0"
